"","PCNM4","PCNM2","PCNM1","PCNM5"
"1",-1.88301826091351,-0.0858100825413144,0.475810355416201,0.634904803630309
"2",-1.91704308396284,-0.0862147379603381,0.475725681921104,0.580902415154867
"3",-1.99905353482488,-0.0875704873674711,0.475478784526677,0.305090657996266
"4",-2.02540300937029,-0.0889121675555317,0.475303715559113,-0.13022007897865
"5",-2.02287536998719,-0.0907717789502579,0.47510561527665,-0.849423786384473
"6",-2.09922987053688,-0.0927221902450608,0.474781165695022,-1.3703281604888
"7",-2.07118096597518,-0.0936743639574354,0.474706460286123,-1.81809556267581
"9",-0.121712491793977,1.54628334558031,0.386705171326012,-1.06453193324038
"10",-0.079849522642202,1.54635441503456,0.38637418098289,-0.842464988663849
"11",-0.0557545402950827,1.54645880372322,0.385854170937816,-0.412258672178682
"12",-0.0172063843502805,1.54656253802126,0.385304397054195,0.0105133696284881
"13",0.0189940037431338,1.54663800257918,0.384879044915614,0.320825033298879
"14",0.0410628405364283,1.54671744148917,0.384401994894305,0.703569133154479
"15",0.0873477915633667,1.54680464812964,0.383840633846935,1.1071027260008
"16",0.153146583639746,1.54689644203253,0.383191060885824,1.54189502148578
"17",0.142362441180781,-0.0667869427987293,0.47855004876273,1.84671670448395
"18",0.218442823872646,-0.0666954751322415,0.478531622778284,1.65177766219405
"19",0.290080585461267,-0.0664271728622179,0.478524918139772,1.53761111238515
"20",0.369017155067798,-0.0663670846072203,0.478491718236115,1.32165072573311
"21",0.444335592832513,-0.0665636656393813,0.47843159188183,1.01837452158268
"22",0.527476084085033,-0.0674202335457544,0.478297673351853,0.438885307833417
"23",0.597914825653747,-0.067056009916482,0.478279969049739,0.364251503863108
"24",0.640218370632979,-0.0655023108556566,0.478391895632276,0.829540462038922
"25",0.679863626138734,-0.0641451979154738,0.478482214013961,1.22757733971387
"26",0.000475101297667684,0.251966080459583,-2.52504673695283,9.76612321258523e-05
"27",0.000480620636553927,0.251968206071377,-2.52507118315253,0.000177335954274343
"28",0.000482346873784107,0.251968522852366,-2.52507624814237,0.000202811339346786
"29",0.000483463437435125,0.251968037324946,-2.5250744033261,0.000220741443579206
"30",0.00048353353063067,0.25196731923899,-2.52506918852749,0.000222956188657183
"31",0.00303637051016794,0.0650950832888367,-2.53613966588359,0.00110867987222832
"32",1.58469407443498,-0.061318706934924,0.477647614826421,-0.454969237688335
"33",1.56527385959011,-0.0619291827109703,0.477618017431515,-0.628841198485508
"34",1.52060913052756,-0.0627356983065714,0.477608138300661,-0.800283469803454
"35",1.45609967161827,-0.0644996833320005,0.477525995598464,-1.27731063030453
"36",1.39994722498263,-0.0657141941761996,0.477482618208774,-1.56994669950029
"37",1.33635304076489,-0.0660160919525738,0.477546811616141,-1.49059165718883
"38",1.28402079183513,-0.0661543782540877,0.477608963123852,-1.38322886136465
"39",0.0901262334309451,-1.69780457529545,0.121159127616282,1.51605994435048
"40",0.0615783905996917,-1.6977353381928,0.120615299334872,1.00710369447337
"41",0.0580443452032352,-1.69767449668935,0.120189137672417,0.538592739300408
"42",0.0375822047511367,-1.6975644589077,0.11951774643398,-0.129235099111988
"43",-0.0131675422480764,-1.69747033150163,0.118994205599524,-0.505254498132321
"44",-0.0621019985473953,-1.69734959051464,0.118379098320912,-0.981562159284437
"45",-0.085998360936238,-1.69724418777852,0.117886050042568,-1.41749402360258
"46",6.6787069038275e-05,-1.68998972306896,-0.118862144995226,6.28619278445959e-07
